Model,Cross-Validation Folds,Test Accuracy,Precision,Cross-Validation Accuracy
Logistic Regression,5,0.9825479930191972,0.9847328244274809,0.9816677222574086
Logistic Regression,10,0.9825479930191972,0.9847328244274809,0.9834103947255757
Logistic Regression,15,0.9825479930191972,0.9847328244274809,0.9834129790349656
KNN (k=3),5,0.9834205933682374,0.967032967032967,0.9779587891024939
KNN (k=3),10,0.9834205933682374,0.967032967032967,0.9814496104118504
KNN (k=3),15,0.9834205933682374,0.967032967032967,0.9816722025786635
KNN (k=5),5,0.9851657940663177,0.9812734082397003,0.9779587891024939
KNN (k=5),10,0.9851657940663177,0.9812734082397003,0.9790483393745658
KNN (k=5),15,0.9851657940663177,0.9812734082397003,0.9797057037751349
KNN (k=10),5,0.9799301919720768,0.9845559845559846,0.9753382255598997
KNN (k=10),10,0.9799301919720768,0.9845559845559846,0.9764296791011408
KNN (k=10),15,0.9799301919720768,0.9845559845559846,0.9757762777242045
KNN (k=15),5,0.9799301919720768,0.9735849056603774,0.9768670860457254
KNN (k=15),10,0.9799301919720768,0.9735849056603774,0.977958539068223
KNN (k=15),15,0.9799301919720768,0.9735849056603774,0.9779627843851567
Decision Tree (depth=5),5,0.9066317626527051,0.7434402332361516,0.9194668393708362
Decision Tree (depth=5),10,0.9066317626527051,0.7434402332361516,0.9183748608613751
Decision Tree (depth=5),15,0.9066317626527051,0.7434402332361516,0.9185849494624806
Decision Tree (depth=10),5,0.9328097731239092,0.804953560371517,0.9463113056149492
Decision Tree (depth=10),10,0.9328097731239092,0.804953560371517,0.9498025896433294
Decision Tree (depth=10),15,0.9328097731239092,0.804953560371517,0.9478331368977467
Decision Tree (depth=15),5,0.9415357766143106,0.839344262295082,0.952422937907454
Decision Tree (depth=15),10,0.9415357766143106,0.839344262295082,0.9556968347746668
Decision Tree (depth=15),15,0.9415357766143106,0.839344262295082,0.955691274688382
Decision Tree (depth=20),5,0.9520069808027923,0.8762886597938144,0.9574409623177915
Decision Tree (depth=20),10,0.9520069808027923,0.8762886597938144,0.9631180371226608
Decision Tree (depth=20),15,0.9520069808027923,0.8762886597938144,0.9620229293903356
